Lydraščio Nr.;Administracijos padalinio pavadinimas;Prekių BVPŽ kodas, paslaugų kategorija, darbai;Darbų objektas;Pirkimo grupė;Laimėtojo nustatymo data;Laimėtojas;Laimėtojo pasiūlymo kaina, Eur;Sutarties vertė, Eur;Pirkimo pavadinimas;Pirkimo objekto apibūdinimas;Spe. Reikalavimai;Pirkimo procedūros pradžia
7492;Eigulių seniūnija;KAT27.799;paslaugos;2013.10.24;Petras Jucevičius;1737,72;1737,72;Kultūrinio renginio organizavimas;Kultūrinių renginių organizavimo paslaugos.;2014.01.06
7550;Bendrasis skyrius;185;prekės;2014.01.13;UAB Lietuvos monetų kalykla;2368,98;2368,98;J. Vileišio medaliai;J. Vileišio medaliai.;Ne per CPO;2014.01.08
7612;Bendrasis skyrius;411;prekės;2014.03.18;UAB Eden Spring Lietuva;11534,4;11534,4;Vanduo (19 l talpose) ir vienkartiniai puodeliai;Vanduo (19 l talpose) ir vienkartiniai puodeliai;Ne per CPO. Papildomas kodas 39222120-1;2014.01.10
7692;Bendrasis skyrius;Darbai;Lampėdžių g. 10;Darbų pirkimas;2014.02.03;UAB „Vilungė“;141,91;141,91;Stiklo paketas su pakeitimu;Stiklo paketas su pakeitimu;Ne per CPO;2014.01.17
7730;Bendrasis skyrius;445;prekės;2014.02.10;UAB Centrinis raktų servisas;3498,61;3504,4;Raktai (dublikatai) ir avarinis durų atidarymas;Raktai (dublikatai) ir avarinis durų atidarymas;Ne per CPO;2014.01.17
7770;Bendrasis skyrius;KAT1.501;paslaugos;2014.01.24;UAB Techninės apžiūros centras;579,24;579,24;Transporto priemonių valstybinė techninė apžiūra;Transporo priemonių valstybinė techninė apžiūra;Ne per CPO;2014.01.21
7771;Bendrasis skyrius;KAT1.501;paslaugos;2014.02.04;Regitra;434,43;434,43;Transporto priemonių įregistravimo, išregistravimo dokumentų tvarkymas;Transporto priemonių įregistravimo, išregistravimo dokumentų tvarkymas;Ne per CPO;2014.01.21
7810;Bendrasis skyrius;392;prekės;2014.02.04;Edmundas Unguraitis;3504,4;3504,4;Dirbiniai iš stiklo;Dirbiniai iš stiklo;Ne per CPO;2014.01.22
7831;Bendrasis skyrius;KAT26.925;paslaugos;2014.02.17;UAB ,,Ekobazė'';26,28;8688,6;Konfidencialių archyvinių dokumentų naikinimas;Konfidencialių archyvinių dokumentų naikinimas;Ne per CPO;2014.01.23
7910;Bendrasis skyrius;395;prekės;2014.02.17;UAB „Dextera“;3504,4;3504,4;žaliuzės;Žaliuzės.;Ne per CPO;2014.01.29
7911;Tarptautinių ryšių ir protokolo skyrius;KAT13.793;paslaugos;2014.01.29;UAB „Diena Media News;1752,2;1752,2;Reklamos paslaugų pirkimas;Reklamos paslaugų pirkimas;2014.01.29
7970;Bendrasis skyrius;Darbai;Lampėdžių g. 10;Darbų pirkimas;2014.02.11;UAB „Vilungė“;2026,08;2026,08;Apsaugos nuo įsilaužimo signalizacijos sistemų montavimo darbai;Apsaugos nuo įsilaužimo signalizacijos sistemų montavimo Darbai.;Ne per CPO;2014.02.05
7990;Bendrasis skyrius;441;prekės;UAB „Vilungė“;2878,82;2878,82;Mediniai tašai;Mediniai tašai;Ne per CPO;2014.02.06
8013;Investicijų ir strateginio planavimo skyrius;KAT10.793;paslaugos;2014.01.08;Eglė Vaidelytė;2809,31;2809,31;Apklausų paslaugos;Apklausų paslaugos.;Ne per CPO;2014.02.07
8053;Investicijų ir strateginio planavimo skyrius;KAT11.794;paslaugos;2014.01.23;UAB „EuroPro LT“;2131,6;2102,64;Projekto (''Tilto tarp A. Juozapavičiaus pr. ir Tilto g. statybos darbai'') investicijų projekto parengimo paslaugos;Projekto (''Tilto tarp A. Juozapavičiaus pr. ir Tilto g. statybos darbai'') investicijų projekto parengimo paslaugos;Ne per CPO;2014.02.11
8091;Aplinkos apsaugos skyrius;185;prekės;2014.02.28;3165;3165;Suvenyrų (vėliavėlių) pirkimas;Vėliavėlės;Ne per CPO;2014.02.13
8111;Bendrasis skyrius;315;prekės;2014.04.11;UAB „Vilungė“;2896,2;2896,2;Šviestuvų su pakeitimu pirkimas;Šviestuvai su pakeitimu.;Ne per CPO;2014.02.18
8112;Bendrasis skyrius;446;prekės;2014.02.20;UAB ,,Manevro“;790,66;Dujinio katilo su pakeitimu pirkimas;Dujinis katilas su pakeitimu.;Ne per CPO;2014.02.18
8155;Civilinės saugos skyrius;315;prekės;2014.03.25;UAB MATRIX;243,83;243,83;Projektoriaus HITACHI CP-RS55lempos DT00701 pirkimas;Projektoriaus HITACHI CP-RS55 lempos pirkimas;ne per CPO;2014.02.21
8171;Kultūros paveldo skyrius;Darbai;Karo muziejaus sodelio skulptūrų ir medinių kryžių restauravimas;Darbų pirkimas;Kauno paminklų rest. proj. Institutas/ UAB ''Kauno projektavimo restauravimo ir statybos institutas'';13901,76;13901,76;Kryžių, koplystulpių ir stogastulpių Vytauto Didžiojo karo muziejaus sodelyje restauravimo darbai;Kryžių, koplystulpių ir stogastulpių Vytauto Didžiojo Karo muziejaus sodelyje restauravimo darbai;Ne per CPO;2014.02.24
8195;Bendrasis skyrius;Darbai;Laisvės al. 92;Darbų pirkimas;2014.03.06;UAB „Santermita“;574,53;574,53;Vandentiekio stovo avarijos likvidavimo Laisvės al. 92 remonto darbai;Vandentiekio stovo avarijos likvidavimo remonto darbai;Ne per CPO;2014.02.25
8196;Bendrasis skyrius;Darbai;Laisvės al. 92;Darbų pirkimas;2014.04.08;UAB ''Irdaiva'';2277,86;Langų keitimas ir angokraščių remontas Laisvės al. 92;Langų keitimas ir angokraščių remontas;Per CPO;2014.02.25
8199;Turto skyrius;Darbai;Mosėdžio g. 65;Darbų pirkimas;2014.06.10;UAB „Vilniaus betono demontavimo technika“;4471,7;4471,7;Pastato Mosėdžio g. 65, Kaune, pamatų griovimo aprašo parengimas ir griovimo darbai su statybvietės sutvarkymu;Pastato Mosėdžio g. 65, Kaune, pamatų griovimo aprašo parengimas ir griovimo darbai su statybvietės sutvarkymu;Vykdyti ne per CPO;2014.02.26
8200;Turto skyrius;KAT10.793;paslaugos;2014.04.22;UAB „Kelprojektas“;4065,11;4065,11;Žemės sklypų dalių, patenkančių į formuojamus žemės sklypus, skirtus susisiekimo komunikacijoms įrengti, Kaune, paėmimo visuomenės poreikiams sąnaudų ir naudos analizės parengimo paslaugos pirkimas;Žemės sklypų dalių, patenkančių į formuojamus žemės sklypus, skirtus susisiekimo komunikacijoms įrengti, Kaune, paėmimo visuomenės poreikiams sąnaudų ir naudos analizės parengimo paslaugos pirkimas (H. ir O.Minkovskių g. ta;Vykdyti ne per CPO;2014.02.26
8202;Aplinkos apsaugos skyrius;189;prekės;2014.03.18;3955,2;3955,2;Atšvaitinių krepšių pirkimas;Atšvaitiniai krepšeliai;Ne per CPO;2014.02.26
8212;Transporto ir eismo organizavimo skyrius;224;prekės;2014.03.17;UAB „Ukmergės spaustuvė“;1419;1419;Leidimų vežti keleivius lengvaisiais automobiliais taksi pirkimas;Leidimų vežti keleivius lengvaisiais automobiliais taksi pirkimas;Ne per CPO;2014.02.27
8234;Socialinės paramos skyrius;325;prekės;2014.07.28;UAB TC Prekyba;398,23;398,23;Belaidžiai telefonai;Belaidžiai telefonai.;Ne CPO pirkimas;2014.03.03
8240;Tarptautinių ryšių ir protokolo skyrius;185;prekės;Candy Card;2805;2805;Reprezentacinės dovanos su Kauno miesto vaizdu;Reprezentaciniai suvenyrai (dovanos)  su Kauno miesto vaizdais;ne per CPO;2014.03.04
8272;Kultūros paveldo skyrius;Darbai;Atminimo lenta Kauno Saulės Gimnazija, Savanorių pr. 46;Darbų pirkimas;2014.12.08;UAB ,,Akmelita ir KO'';753,01;753,01;Atminimo lentos „Saulės gimnazija“ įrengimas, Savanorių pr. 46;Atminimo lentos „Saulės gimnazija“ įrengimas, Savanorių pr .46;Ne per CPO;2014.03.05
8279;Socialinių paslaugų skyrius;397;prekės;2014.06.03;IĮ „Technologica Ecliptica“;2896,2;2896,2;Šaldytuvas, šaldiklis, indų plovimo mašina (pramoniniai);Šaldytuvas, šaldiklis, indų plovimo mašina (pramoniniai);ne per CPO;2014.03.05
8283;Bendrasis skyrius;KAT23.797;paslaugos;2014.03.10;UAB G4S Lietuva;140,18;140,18;Apsaugos paslaugos Lampėdžių g. 10;Apsaugos paslaugos Lampėdžių g. 10;Ne per CPO;2014.03.05
8286;Investicijų ir strateginio planavimo skyrius;391;prekės;2014.02.25;UAB „Ekspozicijų centras“;8688,6;8688,6;MIPIM 2014. Bendro stendo su Vilniaus savivaldybe įrengimas;MIPIM-2014. Bendro stendo su Vilniaus m. savivaldybesukūrimas ir įrengimas;Pirkimą atliks Vilniaus m. sav administracija;2014.03.05
8294;Investicijų ir strateginio planavimo skyrius;KAT27.799;paslaugos;2014.02.27;UAB ''PM Screen Group'';5792,4;5792,4;MIPIM 2014. stendo grafinis apipavidalinimas ir įranga;MIPIM 2014 stendo grafinis apipavidalinimas ir įranga;Pirkimą atliks Vilniaus m. sav. administracija;2014.03.05
8295;Investicijų ir strateginio planavimo skyrius;KAT27.799;paslaugos;UAB ''PM Screen Group'';5792,4;5792,4;MIPIM 2014. Internetinės svetainės atnaujinimas ir informacinės medžiagos sukūrimas;MIPIM 2014 internetinės svetainės atnaujinimas ir informacinės medžiagos sukūrimas;Pirkimą atliks Vilniaus m. sav. administracija;2014.03.05
8331;Aplinkos apsaugos skyrius;KAT27.778;paslaugos;2014.03.31;7744;7744;Vandens augmenijos mažinimo (įžuvinimo baltaisiais amūrais) paslaugos;Vandens augmenijos mažinimo (įžuvinimo baltaisiais amūrais) paslaugos;Ne per CPO;2014.03.06
